Year,G,AG,ARI,IAB,ATL,AC,BBS,BEG,BAL,BLA,BBB,BOS,BRG,CAG,CHC,COG,CHW,CIN,CT,CBN,CBE,CCU,CEL,CG,CHT,CLE,CRS,CLS,CTS,CTG,COL,CBB,COB,COT,CSE,CSW,DM,DS,DTS,DET,DW,HBG,HIL,HG,HOU,ABC,ID,IA,IC,JRC,KCM,KCR,LRG,LAA,LAD,LVB,MRS,MIA,MB,MIL,MIN,MRM,MGS,NBY,NYC,NLG,NYM,NYY,NWB,ND,NE,NS,OAK,PBG,PHI,PS,PTG,TC,PK,PIT,CUP,SDP,SFG,SEA,STL,SLS,SL2,HAR,TBR,TEX,TT,TOR,SEN,WSN,WAP,WMP
2021,70,,20,,30,,,,22,,,42,,,38,,43,35,,,,,,,,37,,,,,28,,,,,,,,,29,,,,,39,,,,,,,30,,33,41,,,29,,38,27,,,,,,35,35,,,,,43,,33,,,,,23,,38,43,34,35,,,,43,25,,33,,30,,
2020,60,,25,,35,,,,25,,,24,,,34,,35,31,,,,,,,,35,,,,,26,,,,,,,,,23,,,,,29,,,,,,,26,,26,43,,,31,,29,36,,,,,,26,33,,,,,36,,28,,,,,19,,37,29,27,30,,,,40,22,,32,,26,,
2019,162,,85,,97,,,,54,,,84,,,84,,72,75,,,,,,,,93,,,,,71,,,,,,,,,47,,,,,107,,,,,,,59,,72,106,,,57,,89,101,,,,,,86,103,,,,,97,,81,,,,,69,,70,77,68,91,,,,96,78,,67,,93,,
2018,163,,82,,90,,,,47,,,108,,,95,,62,67,,,,,,,,91,,,,,91,,,,,,,,,64,,,,,103,,,,,,,58,,80,92,,,63,,96,78,,,,,,77,100,,,,,97,,80,,,,,82,,66,73,89,88,,,,90,67,,73,,82,,
2017,162,,93,,72,,,,75,,,93,,,92,,67,68,,,,,,,,102,,,,,87,,,,,,,,,64,,,,,101,,,,,,,80,,80,104,,,77,,86,85,,,,,,70,91,,,,,75,,66,,,,,75,,71,64,78,83,,,,80,78,,76,,97,,
2016,162,,69,,68,,,,89,,,93,,,103,,78,68,,,,,,,,94,,,,,75,,,,,,,,,86,,,,,84,,,,,,,81,,74,91,,,79,,73,59,,,,,,87,84,,,,,69,,71,,,,,78,,68,87,86,86,,,,68,95,,89,,95,,
2015,162,,79,,67,,,,81,,,78,,,97,,76,64,,,,,,,,81,,,,,68,,,,,,,,,74,,,,,86,,,,,,,95,,85,92,,,71,,68,83,,,,,,90,87,,,,,68,,63,,,,,98,,74,84,76,100,,,,80,88,,93,,83,,
2014,162,,64,,79,,,,96,,,71,,,73,,73,76,,,,,,,,85,,,,,66,,,,,,,,,90,,,,,70,,,,,,,89,,98,94,,,77,,82,70,,,,,,79,84,,,,,88,,73,,,,,88,,77,88,87,90,,,,77,67,,83,,96,,
2013,163,,81,,96,,,,85,,,97,,,66,,63,90,,,,,,,,92,,,,,74,,,,,,,,,93,,,,,51,,,,,,,86,,78,92,,,62,,74,66,,,,,,74,85,,,,,96,,73,,,,,94,,76,76,71,97,,,,92,91,,74,,86,,
2012,162,,81,,94,,,,93,,,69,,,61,,85,97,,,,,,,,68,,,,,64,,,,,,,,,88,,,,,55,,,,,,,72,,89,86,,,69,,83,66,,,,,,74,95,,,,,94,,81,,,,,79,,76,94,75,88,,,,90,93,,73,,98,,
2011,162,,94,,89,,,,69,,,90,,,71,,79,79,,,,,,,,80,,,,,73,,,,,,,,,95,,,,,56,,,,,,,71,,86,82,,,72,,96,63,,,,,,77,97,,,,,74,,102,,,,,72,,71,86,67,90,,,,91,96,,81,,80,,
2010,162,,65,,91,,,,66,,,89,,,75,,88,91,,,,,,,,69,,,,,83,,,,,,,,,81,,,,,76,,,,,,,67,,80,80,,,80,,77,94,,,,,,79,95,,,,,81,,97,,,,,57,,90,92,61,86,,,,96,90,,85,,69,,
2009,163,,70,,86,,,,64,,,95,,,83,,79,78,,,,,,,,65,,,,,92,,,,,,,,,86,,,,,74,,,,,,,65,,97,95,,,87,,80,87,,,,,,70,103,,,,,75,,93,,,,,62,,75,88,85,91,,,,84,87,,75,,59,,
2008,163,,82,,72,,,,68,,,95,,,97,,89,74,,,,,,,,81,,,,,74,,,,,,,,,74,,,,,86,,,,,,,75,,100,84,,,84,,90,88,,,,,,89,89,,,,,75,,92,,,,,67,,63,72,61,86,,,,97,79,,86,,59,,
2007,163,,90,,84,,,,69,,,96,,,85,,72,72,,,,,,,,96,,,,,90,,,,,,,,,88,,,,,73,,,,,,,69,,94,82,,,71,,83,79,,,,,,88,94,,,,,76,,89,,,,,68,,89,71,88,78,,,,66,75,,83,,73,,
2006,162,,76,,79,,,,70,,,86,,,66,,90,80,,,,,,,,78,,,,,76,,,,,,,,,95,,,,,82,,,,,,,62,,89,88,,,78,,75,96,,,,,,97,97,,,,,93,,85,,,,,67,,88,76,78,83,,,,61,80,,87,,71,,
2005,162,,77,,90,,,,74,,,95,,,79,,99,73,,,,,,,,93,,,,,67,,,,,,,,,71,,,,,89,,,,,,,56,,95,71,,,83,,81,83,,,,,,83,95,,,,,88,,88,,,,,67,,82,75,69,100,,,,67,79,,80,,81,,
2004,162,,51,,96,,,,78,,,98,,,89,,83,76,,,,,,,,80,,,,,68,,,,,,,,,72,,,,,92,,,,,,,58,,92,93,,,83,,67,92,,,,,,71,101,,,,,91,,86,,,,,72,,87,91,63,105,,,,70,89,,67,,67,,
2003,162,,84,,101,,,,71,,,95,,,88,,86,69,,,,,,,,68,,,,,74,,,,,,,,,43,,,,,87,,,,,,,83,,77,85,,,91,,68,90,,,,,,66,101,,,,,96,,86,,,,,75,,64,100,93,85,,,,63,71,,86,,83,,
2002,162,,98,,101,,,,67,,,93,,,67,,81,78,,,,,,,,74,,,,,73,,,,,,,,,55,,,,,84,,,,,,,62,,99,92,,,79,,56,94,,,,,,75,103,,,,,103,,80,,,,,72,,66,95,93,97,,,,55,72,,78,,83,,
2001,162,,92,,88,,,,63,,,82,,,88,,83,66,,,,,,,,91,,,,,73,,,,,,,,,66,,,,,93,,,,,,,65,,75,86,,,76,,68,85,,,,,,82,95,,,,,102,,86,,,,,62,,79,90,116,93,,,,62,73,,80,,68,,
2000,162,,85,,95,,,,74,,,85,,,65,,95,85,,,,,,,,90,,,,,82,,,,,,,,,79,,,,,72,,,,,,,77,,82,86,,,79,,73,69,,,,,,94,87,,,,,91,,65,,,,,69,,76,97,91,95,,,,69,71,,83,,67,,
1999,163,,100,,103,,,,78,,,94,,,67,,75,96,,,,,,,,97,,,,,72,,,,,,,,,69,,,,,97,,,,,,,64,,70,77,,,64,,74,63,,,,,,97,98,,,,,87,,77,,,,,78,,74,86,79,75,,,,69,95,,84,,68,,
1998,163,,65,,106,,,,79,,,92,,,90,,80,77,,,,,,,,89,,,,,77,,,,,,,,,65,,,,,102,,,,,,,72,,85,83,,,54,,74,70,,,,,,88,114,,,,,74,,75,,,,,69,,98,89,76,83,,,,63,88,,88,,65,,
1997,162,,,,101,,,,98,,,78,,,68,,80,76,,,,,,,,86,,,,,83,,,,,,,,,79,,,,,84,,,,,,,67,,84,88,,,92,,78,68,,,,,,88,96,,,,,65,,68,,,,,79,,76,90,90,73,,,,,77,,76,,78,,
1996,162,,,,96,,,,88,,,85,,,76,,85,81,,,,,,,,99,,,,,83,,,,,,,,,53,,,,,82,,,,,,,75,,70,90,,,80,,80,78,,,,,,71,92,,,,,78,,67,,,,,73,,91,68,85,88,,,,,90,,74,,88,,
1995,145,,,,90,,,,71,,,86,,,73,,68,85,,,,,,,,100,,,,,77,,,,,,,,,60,,,,,76,,,,,,,70,,78,78,,,67,,65,56,,,,,,69,79,,,,,67,,69,,,,,58,,70,67,79,62,,,,,74,,56,,66,,
1994,117,,,,68,,,,63,,,54,,,49,,67,66,,,,,,,,66,,,,,53,,,,,,,,,53,,,,,66,,,,,,,64,,47,58,,,51,,53,53,,,,,,55,70,,,,,51,,54,,,,,53,,47,55,49,53,,,,,52,,55,,74,,
1993,162,,,,104,,,,85,,,80,,,84,,94,73,,,,,,,,76,,,,,67,,,,,,,,,85,,,,,85,,,,,,,84,,71,81,,,64,,69,71,,,,,,59,88,,,,,68,,97,,,,,75,,61,103,82,87,,,,,86,,95,,94,,
1992,162,,,,98,,,,89,,,73,,,78,,86,90,,,,,,,,76,,,,,,,,,,,,,,75,,,,,81,,,,,,,72,,72,63,,,,,92,90,,,,,,72,76,,,,,96,,70,,,,,96,,82,72,64,83,,,,,77,,96,,87,,
1991,162,,,,94,,,,67,,,84,,,77,,87,74,,,,,,,,57,,,,,,,,,,,,,,84,,,,,65,,,,,,,82,,81,93,,,,,83,95,,,,,,77,71,,,,,84,,78,,,,,98,,84,75,83,84,,,,,85,,91,,71,,
1990,162,,,,65,,,,76,,,88,,,77,,94,91,,,,,,,,77,,,,,,,,,,,,,,79,,,,,75,,,,,,,75,,80,86,,,,,74,74,,,,,,91,67,,,,,103,,77,,,,,95,,75,85,77,70,,,,,83,,86,,85,,
1989,162,,,,63,,,,87,,,83,,,93,,69,75,,,,,,,,73,,,,,,,,,,,,,,59,,,,,86,,,,,,,92,,91,77,,,,,81,80,,,,,,87,74,,,,,99,,67,,,,,74,,89,92,73,86,,,,,83,,89,,81,,
1988,162,,,,54,,,,54,,,89,,,77,,71,87,,,,,,,,78,,,,,,,,,,,,,,88,,,,,82,,,,,,,84,,75,94,,,,,87,91,,,,,,100,85,,,,,104,,65,,,,,85,,83,83,68,76,,,,,70,,87,,81,,
1987,162,,,,69,,,,67,,,78,,,76,,77,84,,,,,,,,61,,,,,,,,,,,,,,98,,,,,76,,,,,,,83,,75,73,,,,,91,85,,,,,,92,89,,,,,81,,80,,,,,80,,65,90,78,95,,,,,75,,96,,91,,
1986,162,,,,72,,,,73,,,95,,,70,,72,86,,,,,,,,84,,,,,,,,,,,,,,87,,,,,96,,,,,,,76,,92,73,,,,,77,71,,,,,,108,90,,,,,76,,86,,,,,64,,74,83,67,79,,,,,87,,86,,78,,
1985,162,,,,66,,,,83,,,81,,,77,,85,89,,,,,,,,60,,,,,,,,,,,,,,84,,,,,83,,,,,,,91,,90,95,,,,,71,77,,,,,,98,97,,,,,77,,75,,,,,57,,83,62,74,101,,,,,62,,99,,84,,
1984,162,,,,80,,,,85,,,86,,,96,,74,70,,,,,,,,75,,,,,,,,,,,,,,104,,,,,80,,,,,,,84,,81,79,,,,,67,81,,,,,,90,87,,,,,77,,81,,,,,75,,92,66,74,84,,,,,69,,89,,78,,
1983,162,,,,88,,,,98,,,78,,,71,,99,74,,,,,,,,70,,,,,,,,,,,,,,92,,,,,85,,,,,,,79,,70,91,,,,,87,70,,,,,,68,91,,,,,74,,90,,,,,84,,81,79,60,79,,,,,77,,89,,82,,
1982,162,,,,89,,,,94,,,89,,,73,,87,61,,,,,,,,78,,,,,,,,,,,,,,83,,,,,77,,,,,,,90,,93,88,,,,,95,60,,,,,,65,79,,,,,68,,89,,,,,84,,81,87,76,92,,,,,64,,78,,86,,
1981,111,,,,50,,,,59,,,59,,,38,,54,66,,,,,,,,52,,,,,,,,,,,,,,60,,,,,61,,,,,,,50,,51,63,,,,,62,41,,,,,,41,59,,,,,64,,59,,,,,46,,41,56,44,59,,,,,57,,37,,60,,
1980,163,,,,81,,,,100,,,83,,,64,,70,89,,,,,,,,79,,,,,,,,,,,,,,84,,,,,93,,,,,,,97,,65,92,,,,,86,77,,,,,,67,103,,,,,83,,91,,,,,83,,73,75,59,74,,,,,76,,67,,90,,
1979,162,,,,66,,,,102,,,91,,,80,,73,90,,,,,,,,81,,,,,,,,,,,,,,85,,,,,89,,,,,,,85,,88,79,,,,,95,82,,,,,,63,89,,,,,54,,84,,,,,98,,68,71,67,86,,,,,83,,53,,95,,
1978,163,,,,69,,,,90,,,99,,,79,,71,92,,,,,,,,69,,,,,,,,,,,,,,86,,,,,74,,,,,,,92,,87,95,,,,,93,73,,,,,,66,100,,,,,69,,90,,,,,88,,84,89,56,69,,,,,87,,59,,76,,
1977,162,,,,61,,,,97,,,97,,,81,,90,88,,,,,,,,71,,,,,,,,,,,,,,74,,,,,81,,,,,,,102,,74,98,,,,,67,84,,,,,,64,100,,,,,63,,101,,,,,96,,69,75,64,83,,,,,94,,54,,75,,
1976,162,,,,70,,,,88,,,83,,,75,,64,102,,,,,,,,81,,,,,,,,,,,,,,74,,,,,80,,,,,,,90,,76,92,,,,,66,85,,,,,,86,97,,,,,87,,101,,,,,92,,73,74,,72,,,,,76,,,,55,,
1975,162,,,,67,,,,90,,,95,,,75,,75,108,,,,,,,,79,,,,,,,,,,,,,,57,,,,,64,,,,,,,91,,72,88,,,,,68,76,,,,,,82,83,,,,,98,,86,,,,,92,,71,80,,82,,,,,79,,,,75,,
1974,162,,,,88,,,,91,,,84,,,66,,80,98,,,,,,,,77,,,,,,,,,,,,,,72,,,,,81,,,,,,,77,,68,102,,,,,76,82,,,,,,71,89,,,,,90,,80,,,,,88,,60,72,,86,,,,,84,,,,79,,
1973,162,,,,76,,,,97,,,89,,,77,,77,99,,,,,,,,71,,,,,,,,,,,,,,85,,,,,82,,,,,,,88,,79,95,,,,,74,81,,,,,,82,80,,,,,94,,71,,,,,80,,60,88,,81,,,,,57,,,,79,,
1972,156,,,,70,,,,80,,,85,,,85,,87,95,,,,,,,,72,,,,,,,,,,,,,,86,,,,,84,,,,,,,76,,75,85,,,,,65,77,,,,,,83,79,,,,,93,,59,,,,,96,,58,69,,75,,,,,54,,,,70,,
1971,162,,,,82,,,,101,,,85,,,83,,79,79,,,,,,,,60,,,,,,,,,,,,,,91,,,,,79,,,,,,,85,,76,89,,,,,69,74,,,,,,83,82,,,,,101,,67,,,,,97,,61,90,,90,,,,,63,,,,71,,
1970,162,,,,76,,,,108,,,87,,,84,,56,102,,,,,,,,76,,,,,,,,,,,,,,79,,,,,79,,,,,,,65,,86,87,,,,,65,98,,,,,,83,93,,,,,89,,73,,,,,89,,63,86,,76,,,,,70,,,,73,,
1969,162,,,,93,,,,109,,,87,,,92,,68,89,,,,,,,,62,,,,,,,,,,,,,,90,,,,,81,,,,,,,69,,71,85,,,,,64,97,,,,,,100,80,,,,,88,,63,,,,,88,,52,90,,87,,,,,86,,,,52,,
1968,162,,,,81,,,,91,,,86,,,84,,67,83,,,,,,,,86,,,,,,,,,,,,,,103,,,,,72,,,,,,,,,67,76,,,,,,79,,,,,,73,83,,,,,82,,76,,,,,80,,,88,,97,,,,,65,,,,,,
1967,162,,,,77,,,,76,,,92,,,87,,89,87,,,,,,,,75,,,,,,,,,,,,,,91,,,,,69,,,,,,,,,84,73,,,,,,91,,,,,,61,72,,,,,62,,82,,,,,81,,,91,,101,,,,,76,,,,,,
1966,162,,,,85,,,,97,,,72,,,59,,83,76,,,,,,,,81,,,,,,,,,,,,,,88,,,,,72,,,,,,,,,80,95,,,,,,89,,,,,,66,70,,,,,74,,87,,,,,92,,,93,,83,,,,,71,,,,,,
